Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|76|66||Wyoming
Nov 11, 2018|L|63|82||N. Dakota St.
Nov 13, 2018|W|88|32||
Nov 17, 2018|W|88|69||Montana St.
Nov 23, 2018|W|76|69||Portland St.
Nov 24, 2018|W|66|55||Idaho
Nov 29, 2018|W|75|58||Sacramento St.
Dec 2, 2018|L|63|67||Washington
Dec 8, 2018|W|55|45||Ark.-Pine Bluff
Dec 15, 2018|W|99|89 |OT|Rice
Dec 19, 2018|L|74|85||Neb.-Omaha
Dec 22, 2018|W|84|65||Idaho St.
Dec 29, 2018|W|73|71||San Fran.
Jan 2, 2019|W|109|47||Bethesda
Jan 9, 2019|W|65|56||Cal Poly
Jan 12, 2019|W|72|64||UC Riverside
Jan 17, 2019|W|69|58||UC Davis
Jan 24, 2019|L|60|81||CSFullerton
Jan 26, 2019|W|82|71||LBSU
Jan 31, 2019|L|62 |66|OT|UC Irvine
Feb 3, 2019|W|75|54||Hawaii
Feb 6, 2019|W|70|64||CSNorthridge 
Feb 10, 2019|L|57|61||UC Davis
Feb 14, 2019|L|57|71||UC Riverside
Feb 17, 2019|L|70|83||UC Irvine

Total Points For:|1828
Total Points Against:|1629
Average Points For:|73.12
Average Points Against:|65.16
Average Point Difference:|7.96

Win Percentage:|68.0
