Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|110|76||Savannah St.
Nov 13, 2018|L|77|81||Temple
Nov 16, 2018|W|75|64||Sam Houston
Nov 19, 2018|W|80|68||Illinois St.
Nov 20, 2018|L|49|64||Clemson
Nov 21, 2018|L|67|91||Georgia St.
Nov 27, 2018|W|84|51||Kennesaw St.
Dec 3, 2018|W|92|75||Texas So.
Dec 15, 2018|L|74|76||Arizona St.
Dec 18, 2018|W|81|69||Oakland
Dec 22, 2018|W|70|59||Georgia Tech
Dec 30, 2018|W|91|72||Massachusetts
Jan 5, 2019|L|50|96||Tennessee
Jan 9, 2019|W|82|63||Vanderbilt
Jan 12, 2019|L|78|93||Auburn
Jan 15, 2019|L|49|69||Kentucky
Jan 19, 2019|L|52|62||Florida
Jan 23, 2019|L|82|92||LSU
Jan 26, 2019|W|98|88||Texas
Jan 29, 2019|L|60|70||Arkansas
Feb 2, 2019|L|80|86||South Carolina
Feb 6, 2019|L|74|89||Alabama
Feb 9, 2019|L|64|80||Ole Miss
Feb 12, 2019|L|56|73||Texas A&amp;M
Feb 16, 2019|L|79|83||LSU

Total Points For:|1854
Total Points Against:|1890
Average Points For:|74.16
Average Points Against:|75.6
Average Point Difference:|-1.44

Win Percentage:|40.0
