Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|37|87||Texas Tech
Nov 9, 2018|W|63|49||St. Francis III
Nov 10, 2018|W|66|54||
Nov 12, 2018|W|70|59||Tx. Lutheran
Nov 16, 2018|L|66|93||Montana
Nov 17, 2018|W|80|78 |OT|N. Dakota St.
Nov 18, 2018|L|68|71||FAU
Nov 21, 2018|L|64|90||N. Colorado
Nov 25, 2018|L|68|80||SIUE
Dec 4, 2018|W|82|57||
Dec 9, 2018|L|50|91||LSU
Dec 17, 2018|L|57|63||Ill.-Chicago
Dec 19, 2018|L|71|81||DePaul
Jan 2, 2019|L|77|88||McNeese St.
Jan 5, 2019|W|65|58||Nicholls St.
Jan 12, 2019|L|52|66||Sam Houston
Jan 16, 2019|L|60|77||Cent. Arkansas
Jan 19, 2019|L|71|74||SF Austin
Jan 23, 2019|L|81 |87|OT|Lamar
Jan 26, 2019|L|52|61||New Orleans
Jan 30, 2019|L|92|96||Houston Bap.
Feb 2, 2019|L|72|89||New Orleans
Feb 9, 2019|L|61|70||Texas A&amp;M-CC
Feb 13, 2019|L|64|70||SE Louisiana
Feb 16, 2019|L|48|68||Abil Christian

Total Points For:|1637
Total Points Against:|1857
Average Points For:|65.48
Average Points Against:|74.28
Average Point Difference:|-8.8

Win Percentage:|24.0
