Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|84|118||Duke
Nov 9, 2018|W|71|59||S. Illinois
Nov 14, 2018|W|96|58||North Dakota
Nov 18, 2018|W|92|82||VMI
Nov 21, 2018|W|87|74||Winthrop
Nov 23, 2018|W|77|62||Tennessee St.
Nov 28, 2018|W|90|44||Monmouth
Dec 1, 2018|W|78|61||UNC-Green.
Dec 8, 2018|L|83 |84|OT|Seton Hall
Dec 15, 2018|W|88|61||Utah
Dec 22, 2018|W|80|72||North Carolina
Dec 29, 2018|W|71|58||Louisville
Jan 5, 2019|L|75|77||Alabama
Jan 8, 2019|W|85|74||Texas A&amp;M
Jan 12, 2019|W|56|47||Vanderbilt
Jan 15, 2019|W|69|49||Georgia
Jan 19, 2019|W|82|80||Auburn
Jan 22, 2019|W|76|55||Miss. State
Jan 26, 2019|W|71|63||Kansas
Jan 29, 2019|W|87|52||Vanderbilt
Feb 2, 2019|W|65|54||Florida
Feb 5, 2019|W|76|48||South Carolina
Feb 9, 2019|W|71|67||Miss. State
Feb 12, 2019|L|71|73||LSU
Feb 16, 2019|W|86|69||Tennessee

Total Points For:|1967
Total Points Against:|1641
Average Points For:|78.68
Average Points Against:|65.64
Average Point Difference:|13.04

Win Percentage:|84.0
