Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|83|75||UMass Lowell
Nov 9, 2018|W|104|75||New Hamp.
Nov 13, 2018|L|71|74||Harvard
Nov 16, 2018|L|63|68||Howard
Nov 19, 2018|W|92|60||Ark.-Pine Bluff
Nov 22, 2018|W|84|62||S. Illinois
Nov 23, 2018|L|87|110||Nevada
Nov 28, 2018|W|69|62||Quinnipiac
Dec 4, 2018|L|78|82||Holy Cross
Dec 7, 2018|W|79|78||Providence
Dec 12, 2018|L|63|65||Temple
Dec 21, 2018|W|85|84||F. Dickinson
Dec 30, 2018|L|72|91||Georgia
Jan 5, 2019|L|60|69||La Salle
Jan 9, 2019|L|62|65||Saint Louis
Jan 13, 2019|L|67|72||Dayton
Jan 16, 2019|L|63|68||George Mason
Jan 19, 2019|L|50|68||VCU
Jan 23, 2019|L|51|65||St. Bona.
Jan 27, 2019|W|77|70||Rhode Island
Jan 30, 2019|L|51|60||La Salle
Feb 2, 2019|L|62|64||Saint Joseph&#039;s
Feb 6, 2019|L|67|85||Fordham
Feb 9, 2019|W|54|51||Davidson
Feb 13, 2019|L|75 |80|OT|George Mason

Total Points For:|1769
Total Points Against:|1803
Average Points For:|70.76
Average Points Against:|72.12
Average Point Difference:|-1.36

Win Percentage:|36.0
