Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|42|67||Marquette
Nov 10, 2018|W|93|45||
Nov 12, 2018|W|75|52||Manhattan
Nov 16, 2018|W|77|72 |OT|Air Force
Nov 17, 2018|W|68|59||High Point
Nov 19, 2018|L|52|58||South Dakota
Nov 24, 2018|L|69|73||American
Nov 30, 2018|L|60|78||N. Kentucky
Dec 3, 2018|W|71|60||Coppin St.
Dec 8, 2018|W|91|76||Drexel
Dec 11, 2018|L|76 |80|OT|Towson
Dec 16, 2018|L|53|76||FGCU
Dec 21, 2018|W|86|65||Hood College
Dec 29, 2018|L|52|74||Penn St.
Dec 31, 2018|W|98|48||
Jan 5, 2019|W|61|52||Maine
Jan 9, 2019|L|64 |66|OT|Hartford
Jan 12, 2019|L|63|74||UMass Lowell
Jan 16, 2019|W|68|49||Binghamton
Jan 19, 2019|W|65|64 |OT|Albany
Jan 23, 2019|W|74|61||Vermont
Jan 26, 2019|W|59|51||New Hamp.
Jan 30, 2019|W|57|49||Stony Brook
Feb 6, 2019|L|61|70||Hartford
Feb 10, 2019|W|67|66||Maine
Feb 13, 2019|W|64|50||Binghamton
Feb 16, 2019|W|70|66||UMass Lowell

Total Points For:|1836
Total Points Against:|1701
Average Points For:|68.0
Average Points Against:|63.0
Average Point Difference:|5.0

Win Percentage:|62.962962963
