Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|53|68||Georgetown
Nov 10, 2018|L|49|95||NC State
Nov 13, 2018|L|63|66||Longwood
Nov 17, 2018|L|34|68||North Texas
Nov 20, 2018|L|42|80||Mercer
Nov 24, 2018|W|77|52||
Nov 27, 2018|L|64|85||St. John&#039;s
Nov 30, 2018|L|62|71||Delaware
Dec 2, 2018|L|47|70||East Carolina
Dec 13, 2018|L|57|72||Duquesne
Dec 15, 2018|L|43|78||Pittsburgh
Dec 20, 2018|L|74|88||Winthrop
Dec 22, 2018|L|58|82||American
Dec 28, 2018|L|40|85||Virginia Tech
Dec 31, 2018|W|68|62||Chestnut Hill
Jan 5, 2019|L|53|66||Morgan St.
Jan 7, 2019|L|39|79||Howard
Jan 12, 2019|L|48|61||NC Central
Jan 14, 2019|L|58|67||NC A&amp;T
Jan 19, 2019|W|60|58 |OT|Florida A&amp;M
Jan 21, 2019|L|68|89||Bethune-Cook.
Jan 26, 2019|L|60|88||Norfolk St.
Jan 28, 2019|L|57|72||Howard
Feb 2, 2019|W|63|61||SC State
Feb 4, 2019|L|63|68||Savannah St.
Feb 9, 2019|L|53|78||NC Central
Feb 11, 2019|L|61|68||NC A&amp;T
Feb 16, 2019|L|55|58||Coppin St.

Total Points For:|1569
Total Points Against:|2035
Average Points For:|56.0357142857
Average Points Against:|72.6785714286
Average Point Difference:|-16.6428571429

Win Percentage:|14.2857142857
