Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|45|76||Loyola-Chi.
Nov 8, 2018|L|63|77||Iowa
Nov 11, 2018|L|66|94||Connecticut
Nov 16, 2018|L|89|99||Morehead St.
Nov 17, 2018|L|80 |87|OT|E. Washington
Nov 21, 2018|L|63|66||Drake
Nov 24, 2018|W|94|58||
Nov 28, 2018|L|47|75||S. Dak. St.
Dec 1, 2018|W|90|73||PFW
Dec 8, 2018|W|65|63||South Dakota
Dec 13, 2018|L|66|69||Milwaukee
Dec 15, 2018|W|80|67||McNeese St.
Dec 19, 2018|L|72|81||C. Michigan
Dec 22, 2018|W|95|59||Elon
Dec 27, 2018|L|53|89||Creighton
Jan 5, 2019|W|80|72||Chicago St.
Jan 10, 2019|W|84|68||Cal Baptist
Jan 17, 2019|L|73|74||Cal-Baker.
Jan 19, 2019|L|50|78||Grand Canyon
Jan 24, 2019|L|67|75||Utah Valley
Jan 26, 2019|W|63|54||Seattle
Jan 31, 2019|L|54|70||N. Mex. St.
Feb 2, 2019|L|63|75||UT-Rio Grande Valley
Feb 9, 2019|L|60|70||Cal Baptist
Feb 14, 2019|W|87|75 |OT|Grand Canyon
Feb 16, 2019|W|75|67||Cal-Baker.

Total Points For:|1824
Total Points Against:|1911
Average Points For:|70.1538461538
Average Points Against:|73.5
Average Point Difference:|-3.34615384615

Win Percentage:|38.4615384615
