Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|78|67||Wofford
Nov 9, 2018|W|116|67||Elon
Nov 12, 2018|W|90|72||Stanford
Nov 16, 2018|W|108|58||Tenn. Tech
Nov 19, 2018|W|101|76||St. Fran.-Pa.
Nov 22, 2018|L|89|92||Texas
Nov 23, 2018|W|94|78||UCLA
Nov 28, 2018|L|67|84||Michigan
Dec 5, 2018|W|97|69||UNC-Wilm.
Dec 15, 2018|W|103|90||Gonzaga
Dec 22, 2018|L|72|80||Kentucky
Dec 29, 2018|W|82|60||Davidson
Jan 2, 2019|W|77|57||Harvard
Jan 5, 2019|W|85|60||Pittsburgh
Jan 8, 2019|W|90|82||NC State
Jan 12, 2019|L|62|83||Louisville
Jan 15, 2019|W|75|69||Notre Dame
Jan 19, 2019|W|85|76||Miami (Fla.)
Jan 21, 2019|W|103|82||Virginia Tech
Jan 29, 2019|W|77|54||Georgia Tech
Feb 2, 2019|W|79|69||Louisville
Feb 5, 2019|W|113|96||NC State
Feb 9, 2019|W|88|85 |OT|Miami (Fla.)
Feb 11, 2019|L|61|69||Virginia
Feb 16, 2019|W|95|57||Wake Forest

Total Points For:|2187
Total Points Against:|1832
Average Points For:|87.48
Average Points Against:|73.28
Average Point Difference:|14.2

Win Percentage:|80.0
