Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|70|78||Dayton
Nov 9, 2018|L|72|87||Penn St.
Nov 14, 2018|W|95|83||
Nov 17, 2018|L|72|89||Wright St.
Nov 20, 2018|W|64|48||So. Miss
Nov 21, 2018|L|78|83||Jax. State
Nov 27, 2018|L|66|98||Florida
Nov 29, 2018|W|81|62||Florida A&amp;M
Dec 1, 2018|W|76|70||Charleston So.
Dec 11, 2018|L|71|80||Minnesota
Dec 13, 2018|L|89|102||FIU
Dec 15, 2018|W|68|61||Charleston So.
Dec 19, 2018|L|81|95||Florida St.
Dec 29, 2018|L|49|95||Auburn
Jan 2, 2019|W|104|76||Florida National
Jan 5, 2019|W|96|67||N. Alabama
Jan 9, 2019|L|66|81||Lipscomb
Jan 12, 2019|W|87|66||FGCU
Jan 16, 2019|W|87|77||Stetson
Jan 19, 2019|L|64|70||Liberty
Jan 21, 2019|L|72|76||N.J. Tech
Jan 24, 2019|L|81|86||Jacksonville
Jan 27, 2019|L|80|88||FGCU
Jan 30, 2019|L|64|81||Kennesaw St.
Feb 6, 2019|L|55|92||Lipscomb
Feb 9, 2019|W|82|73||N. Alabama
Feb 13, 2019|W|80|57||Kennesaw St.
Feb 16, 2019|W|64|63||N.J. Tech

Total Points For:|2114
Total Points Against:|2184
Average Points For:|75.5
Average Points Against:|78.0
Average Point Difference:|-2.5

Win Percentage:|42.8571428571
