Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|L|50|61||LMU
Nov 13, 2018|W|72|51||UC Riverside
Nov 16, 2018|W|74|61||Oakland
Nov 20, 2018|W|96|70||Pacific
Nov 23, 2018|W|76|71||So. Utah
Nov 28, 2018|L|64|72||Valparaiso
Dec 1, 2018|L|61|65||Cincinnati
Dec 8, 2018|L|74|77||Illinois
Dec 15, 2018|W|92|90 |OT|BYU
Dec 22, 2018|W|73|59||Hawaii
Dec 23, 2018|L|79|84||Indiana St.
Dec 25, 2018|L|72|97||Bucknell
Jan 2, 2019|W|78|76||Colorado St.
Jan 5, 2019|W|68|56||Wyoming
Jan 8, 2019|W|80|69||New Mexico
Jan 16, 2019|L|88|106||Air Force
Jan 19, 2019|W|94|56||San Jose St.
Jan 22, 2019|W|74|58||New Mexico
Jan 26, 2019|L|77|94||San Diego St
Jan 29, 2019|L|70|87||Nevada
Feb 2, 2019|L|65|82||Utah St.
Feb 6, 2019|W|83|72||Boise St.
Feb 9, 2019|L|65|83||Fresno St.
Feb 12, 2019|W|77|72||Air Force
Feb 16, 2019|W|71|64||San Jose St.

Total Points For:|1873
Total Points Against:|1833
Average Points For:|74.92
Average Points Against:|73.32
Average Point Difference:|1.6

Win Percentage:|56.0
