Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|74|65||SIUE
Nov 9, 2018|L|61|83||Nevada
Nov 13, 2018|W|91|66||
Nov 15, 2018|W|83|76||Idaho St.
Nov 20, 2018|L|70|96||UNLV
Nov 22, 2018|W|74|54||UC Riverside
Nov 23, 2018|L|71|73||Abil Christian
Nov 24, 2018|W|65|57||Elon
Nov 28, 2018|L|78 |81|OT|Fresno St.
Dec 1, 2018|W|82|69||Air Force
Dec 5, 2018|W|74|69||
Dec 10, 2018|W|74|68||LBSU
Dec 16, 2018|W|79|77||CSNorthridge 
Dec 22, 2018|L|71|83||Boise St.
Dec 29, 2018|W|84|75 |OT|UC Irvine
Jan 3, 2019|L|87|90||BYU
Jan 5, 2019|L|64|73||San Diego
Jan 10, 2019|L|36|67||Gonzaga
Jan 12, 2019|W|65|57||Portland
Jan 17, 2019|L|52|53||San Fran.
Jan 19, 2019|L|57|69||Santa Clara
Jan 26, 2019|W|74|70||Portland
Jan 31, 2019|L|42|60||LMU
Feb 2, 2019|W|66|59||Pepperdine
Feb 7, 2019|L|66|78||Saint Mary&#039;s
Feb 9, 2019|L|59|69||BYU
Feb 16, 2019|L|59|64||Santa Clara

Total Points For:|1858
Total Points Against:|1901
Average Points For:|68.8148148148
Average Points Against:|70.4074074074
Average Point Difference:|-1.59259259259

Win Percentage:|48.1481481481
