Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|83|62||Robert Morris
Nov 11, 2018|L|78|82||Vanderbilt
Nov 14, 2018|W|95|59||Stetson
Nov 19, 2018|L|63|78||Texas Tech
Nov 20, 2018|W|99|80||Missouri St.
Nov 25, 2018|W|90|75||Cal-Baker.
Nov 28, 2018|W|75|65||LBSU
Dec 1, 2018|L|61|73||Nevada
Dec 7, 2018|L|61|96||TCU
Dec 15, 2018|L|70|81||Oklahoma
Dec 18, 2018|L|92 |102|OT|Santa Clara
Dec 21, 2018|W|91|49||So. Utah
Dec 30, 2018|W|73|55||UC Davis
Jan 3, 2019|W|82|73||California
Jan 6, 2019|W|77|66||Stanford
Jan 10, 2019|L|74 |79|OT|Oregon St.
Jan 13, 2019|L|60|81||Oregon
Jan 19, 2019|W|80|67||UCLA
Jan 24, 2019|W|80|57||Arizona
Jan 26, 2019|W|69|67||Arizona St.
Jan 30, 2019|L|62|75||Washington
Feb 2, 2019|W|93|84||Washington St.
Feb 6, 2019|L|70|77||Utah
Feb 9, 2019|L|65|69||Colorado
Feb 13, 2019|L|76|79||Stanford
Feb 16, 2019|W|89|66||California

Total Points For:|2008
Total Points Against:|1897
Average Points For:|77.2307692308
Average Points Against:|72.9615384615
Average Point Difference:|4.26923076923

Win Percentage:|53.8461538462
