Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|52|65||South Carolina
Nov 10, 2018|W|86|43||
Nov 14, 2018|L|72|78||VMI
Nov 21, 2018|L|56|73||Portland
Nov 23, 2018|L|50|82||Texas St.
Nov 24, 2018|L|74 |75|OT|Cal Poly
Nov 28, 2018|L|61|74||Gardner-Webb
Dec 1, 2018|W|71|66||W. Michigan
Dec 5, 2018|L|77|79||E. Kentucky
Dec 8, 2018|L|60|74||Furman
Dec 15, 2018|W|88|84||SC State
Dec 19, 2018|W|85|54||Truett-McConnell
Dec 22, 2018|L|71|98||NC State
Dec 29, 2018|W|89|69||Coker
Jan 2, 2019|L|63|79||Georgia Tech
Jan 5, 2019|L|61|64||Presbyterian
Jan 10, 2019|L|72|79||Radford
Jan 12, 2019|L|59|64||Gardner-Webb
Jan 16, 2019|L|54|71||High Point
Jan 19, 2019|L|72|82||Winthrop
Jan 21, 2019|L|59|68||Presbyterian
Jan 24, 2019|L|70|88||Hampton
Jan 26, 2019|W|80|63||Longwood
Jan 30, 2019|L|62|71||UNC-Ash.
Feb 2, 2019|L|71|90||Charleston So.
Feb 9, 2019|L|66|82||Campbell
Feb 13, 2019|L|53|57||UNC-Ash.
Feb 16, 2019|L|79 |83|OT|Longwood

Total Points For:|1913
Total Points Against:|2055
Average Points For:|68.3214285714
Average Points Against:|73.3928571429
Average Point Difference:|-5.07142857143

Win Percentage:|21.4285714286
