Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|111|66||SE Baptist
Nov 11, 2018|W|74|64||SMU
Nov 15, 2018|W|81|66||Troy
Nov 20, 2018|L|48|64||North Florida
Nov 21, 2018|W|68|63||W. Carolina
Nov 25, 2018|L|72|78||
Nov 28, 2018|W|71|67||South Alabama
Dec 2, 2018|W|106|46||
Dec 11, 2018|W|81|47||
Dec 15, 2018|L|60|63||Wichita St.
Dec 19, 2018|L|51|55||Kansas St.
Dec 21, 2018|W|66|60||South Dakota
Dec 29, 2018|L|56|71||Louisiana Tech
Jan 3, 2019|L|65|73||Rice
Jan 5, 2019|L|62|65||North Texas
Jan 10, 2019|W|77|70||Middle Tenn.
Jan 12, 2019|W|73|68||UAB
Jan 17, 2019|W|63|60||Charlotte
Jan 19, 2019|L|62|76||Old Dominion
Jan 24, 2019|L|63|66||W. Kentucky
Jan 26, 2019|W|101|51||Marshall
Jan 31, 2019|W|89|73||FIU
Feb 2, 2019|W|74|72||FAU
Feb 9, 2019|W|73|71 |OT|Louisiana Tech
Feb 14, 2019|W|78|71||UT-San Antonio
Feb 16, 2019|W|77|47||UTEP

Total Points For:|1902
Total Points Against:|1673
Average Points For:|73.1538461538
Average Points Against:|64.3461538462
Average Point Difference:|8.80769230769

Win Percentage:|65.3846153846
