Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|75|61||Maine
Nov 12, 2018|L|69|78||Minnesota
Nov 15, 2018|W|98|63||Miss Valley St.
Nov 22, 2018|L|79|90||Hawaii
Nov 23, 2018|W|75|66||Grand Canyon
Nov 25, 2018|L|57|79||Northwestern
Dec 1, 2018|W|69|64||Tulsa
Dec 8, 2018|L|59|74||BYU
Dec 15, 2018|L|61|88||Kentucky
Dec 17, 2018|W|93|64||Florida A&amp;M
Dec 21, 2018|W|76|62||N. Arizona
Dec 29, 2018|L|71|86||Nevada
Jan 3, 2019|W|96|86||Arizona St.
Jan 5, 2019|L|81 |84|OT|Arizona
Jan 10, 2019|L|53|69||Washington
Jan 12, 2019|W|88|70||Washington St.
Jan 20, 2019|W|78|69||Colorado
Jan 24, 2019|W|70|66||Stanford
Jan 26, 2019|W|82|64||California
Jan 31, 2019|L|72|78||Oregon
Feb 2, 2019|L|72|81||Oregon St.
Feb 6, 2019|W|77|70||USC
Feb 9, 2019|W|93|92||UCLA
Feb 14, 2019|W|83|76||Arizona
Feb 16, 2019|L|87|98||Arizona St.

Total Points For:|1914
Total Points Against:|1878
Average Points For:|76.56
Average Points Against:|75.12
Average Point Difference:|1.44

Win Percentage:|56.0
