Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|101|71||Montana St.
Nov 9, 2018|W|100|73||Hartford
Nov 13, 2018|W|94|59||Miss Valley St.
Nov 16, 2018|W|65|46||Utah Valley
Nov 19, 2018|W|80|63||Saint Mary&#039;s
Nov 21, 2018|L|82|87||Arizona St.
Nov 28, 2018|W|71|52||Northern Iowa
Dec 1, 2018|W|89|65||UC Irvine
Dec 5, 2018|L|80|95||BYU
Dec 8, 2018|W|76|67||Weber St.
Dec 15, 2018|W|86|48||Alabama St.
Dec 20, 2018|L|50|60||Houston
Dec 28, 2018|W|84|57||
Jan 2, 2019|L|49|72||Nevada
Jan 5, 2019|W|79|62||Air Force
Jan 9, 2019|L|77|78||Fresno St.
Jan 12, 2019|W|71|55||Wyoming
Jan 16, 2019|W|81|63||San Jose St.
Jan 19, 2019|W|87|72||Colorado St.
Jan 26, 2019|W|68|66||New Mexico
Jan 30, 2019|W|103|73||San Jose St.
Feb 2, 2019|W|82|65||UNLV
Feb 5, 2019|W|82|81||Fresno St.
Feb 9, 2019|L|63|68||San Diego St
Feb 13, 2019|W|76|59||Wyoming
Feb 16, 2019|W|76|62||Air Force

Total Points For:|2052
Total Points Against:|1719
Average Points For:|78.9230769231
Average Points Against:|66.1153846154
Average Point Difference:|12.8076923077

Win Percentage:|76.9230769231
