Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|90|63||
Nov 9, 2018|L|69|96||N. Mex. St.
Nov 14, 2018|L|46|79||Arizona
Nov 19, 2018|W|66|59||E. New Mexico
Nov 24, 2018|L|78|84||New Mexico
Nov 28, 2018|L|58|62||N. Mex. St.
Dec 1, 2018|W|77|47||Northwestern St.
Dec 4, 2018|L|69|76||Marquette
Dec 16, 2018|W|68|56||UC Riverside
Dec 21, 2018|L|62|75||Norfolk St.
Dec 22, 2018|W|76|65||Wyoming
Jan 3, 2019|L|60|75||UT-San Antonio
Jan 5, 2019|L|63|67||UT-San Antonio
Jan 10, 2019|L|51|58||North Texas
Jan 12, 2019|W|65|64||Rice
Jan 17, 2019|L|63|76||UAB
Jan 19, 2019|L|72|75||Middle Tenn.
Jan 24, 2019|L|48|50||Old Dominion
Jan 26, 2019|W|57|53||Charlotte
Jan 31, 2019|L|86|91||Marshall
Feb 2, 2019|L|59|76||W. Kentucky
Feb 7, 2019|L|48|61||FAU
Feb 9, 2019|W|85|75||FIU
Feb 14, 2019|L|57|71||Louisiana Tech
Feb 16, 2019|L|47|77||So. Miss

Total Points For:|1620
Total Points Against:|1731
Average Points For:|64.8
Average Points Against:|69.24
Average Point Difference:|-4.44

Win Percentage:|32.0
