Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|96|71||
Nov 9, 2018|L|65|75||BYU
Nov 11, 2018|L|63|92||Saint Mary&#039;s
Nov 16, 2018|L|46|65||Utah St.
Nov 19, 2018|W|72|65||Hartford
Nov 21, 2018|W|87|72||LBSU
Nov 24, 2018|W|74|68||North Dakota
Nov 28, 2018|W|82|59||Western St.
Dec 1, 2018|W|98|75||Denver
Dec 6, 2018|L|69|80||Arizona
Dec 8, 2018|W|98|78||N. Arizona
Dec 15, 2018|W|75|63||Weber St.
Dec 19, 2018|W|88|77||Idaho St.
Dec 22, 2018|W|85|79||Sam Houston
Dec 29, 2018|W|64|60||Fresno St.
Jan 3, 2019|L|60|71||Grand Canyon
Jan 5, 2019|L|71|73||Cal-Baker.
Jan 12, 2019|W|88|78||Seattle
Jan 17, 2019|W|82|61||UT-Rio Grande Valley
Jan 19, 2019|L|78|83||N. Mex. St.
Jan 24, 2019|W|75|67||UMKC
Jan 26, 2019|W|74|60||Chicago St.
Jan 30, 2019|W|79|62||Cal Baptist
Feb 14, 2019|L|77|84||Seattle
Feb 16, 2019|W|76|64||N. Mex. St.

Total Points For:|1922
Total Points Against:|1782
Average Points For:|76.88
Average Points Against:|71.28
Average Point Difference:|5.6

Win Percentage:|68.0
