Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|73|42||Towson
Nov 11, 2018|W|76|57||George Wash.
Nov 16, 2018|W|97|40||Coppin St.
Nov 21, 2018|W|74|52||Middle Tenn.
Nov 22, 2018|W|66|59||Dayton
Nov 23, 2018|W|53|46||Wisconsin
Nov 28, 2018|W|76|71||Maryland
Dec 3, 2018|W|83|45||Morgan St.
Dec 9, 2018|W|57|49||VCU
Dec 19, 2018|W|69|52||South Carolina
Dec 22, 2018|W|72|40||William &amp; Mary
Dec 31, 2018|W|100|64||Marshall
Jan 5, 2019|W|65|52||Florida St.
Jan 9, 2019|W|83|56||Boston College
Jan 12, 2019|W|63|43||Clemson
Jan 15, 2019|W|81|59||Virginia Tech
Jan 19, 2019|L|70|72||Duke
Jan 22, 2019|W|68|45||Wake Forest
Jan 26, 2019|W|82|55||Notre Dame
Jan 29, 2019|W|66|65 |OT|NC State
Feb 2, 2019|W|56|46||Miami (Fla.)
Feb 9, 2019|L|71|81||Duke
Feb 11, 2019|W|69|61||North Carolina
Feb 16, 2019|W|60|54||Notre Dame

Total Points For:|1730
Total Points Against:|1306
Average Points For:|72.0833333333
Average Points Against:|54.4166666667
Average Point Difference:|17.6666666667

Win Percentage:|91.6666666667
