Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|78|72||Boston U.
Nov 12, 2018|L|68|84||Kansas
Nov 14, 2018|W|122|56||
Nov 16, 2018|L|78|86||Louisville
Nov 21, 2018|W|79|70||Yale
Nov 25, 2018|L|61|69||Bucknell
Nov 28, 2018|W|69|53||George Wash.
Nov 30, 2018|W|70|64||Towson
Dec 3, 2018|W|72|67||George Mason
Dec 8, 2018|W|71|65||Harvard
Dec 16, 2018|W|75|70||Northeastern
Dec 18, 2018|W|83|76 |OT|St. Bona.
Dec 21, 2018|L|66|91||Lipscomb
Jan 2, 2019|W|73|59||Dartmouth
Jan 5, 2019|W|80|51||Albany
Jan 9, 2019|W|73|49||Maine
Jan 12, 2019|W|81|62||Hartford
Jan 16, 2019|W|73|59||New Hamp.
Jan 19, 2019|W|78|50||Binghamton
Jan 23, 2019|L|61|74||UMBC
Jan 26, 2019|W|73|52||Stony Brook
Feb 2, 2019|W|74|65||UMass Lowell
Feb 6, 2019|W|86|63||Maine
Feb 9, 2019|W|67|49||Albany
Feb 13, 2019|W|73|44||New Hamp.
Feb 16, 2019|W|77|75||Hartford

Total Points For:|1961
Total Points Against:|1675
Average Points For:|75.4230769231
Average Points Against:|64.4230769231
Average Point Difference:|11.0

Win Percentage:|80.7692307692
