Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|121|65||
Nov 15, 2018|L|71|83||W. Kentucky
Nov 16, 2018|W|64|53||Monmouth
Nov 18, 2018|L|63|69||Wake Forest
Nov 21, 2018|W|75|70 |OT|SIUE
Nov 24, 2018|L|76|88||West Virginia
Nov 28, 2018|W|72|64||UNLV
Dec 2, 2018|W|82|73||UC Riverside
Dec 4, 2018|L|53|55||High Point
Dec 8, 2018|W|82|79||George Wash.
Dec 17, 2018|L|61|77||Ball St.
Dec 19, 2018|L|49|71||Texas A&amp;M
Dec 29, 2018|W|97|61||
Jan 2, 2019|W|58|56||Illinois St.
Jan 5, 2019|W|82|66||Missouri St.
Jan 8, 2019|W|61|50||Bradley
Jan 12, 2019|W|65|61||S. Illinois
Jan 15, 2019|L|54|71||Loyola-Chi.
Jan 19, 2019|W|75|66||Northern Iowa
Jan 23, 2019|L|53|70||Indiana St.
Jan 26, 2019|L|59|70||Drake
Jan 29, 2019|L|54 |55|OT|Missouri St.
Feb 2, 2019|L|53|64||Evansville
Feb 5, 2019|W|69|53||Illinois St.
Feb 10, 2019|L|51|56||Loyola-Chi.
Feb 13, 2019|L|82 |87|OT|Indiana St.
Feb 16, 2019|L|79|84||Drake

Total Points For:|1861
Total Points Against:|1817
Average Points For:|68.9259259259
Average Points Against:|67.2962962963
Average Point Difference:|1.62962962963

Win Percentage:|48.1481481481
