Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|92|79||Winthrop
Nov 11, 2018|W|82|78||USC
Nov 16, 2018|W|79|54||Alcorn St.
Nov 19, 2018|W|79|70||Liberty
Nov 23, 2018|L|75|77||Kent St.
Nov 27, 2018|W|120|85||Savannah St.
Dec 1, 2018|L|65|80||NC State
Dec 5, 2018|W|79|51||Middle Tenn.
Dec 17, 2018|W|81|65||Arizona St.
Dec 22, 2018|L|58|69||Kansas St.
Dec 29, 2018|W|95|76||Tennessee St.
Dec 31, 2018|W|90|59||UNC-Ash.
Jan 5, 2019|L|71|81||Ole Miss
Jan 9, 2019|L|63|82||Georgia
Jan 12, 2019|L|47|56||Kentucky
Jan 16, 2019|L|71|74||South Carolina
Jan 19, 2019|L|55|71||Miss. State
Jan 23, 2019|L|83 |88|OT|Tennessee
Jan 26, 2019|L|55|86||Oklahoma
Jan 29, 2019|L|52|87||Kentucky
Feb 2, 2019|L|67|77||Missouri
Feb 5, 2019|L|66|69||Arkansas
Feb 9, 2019|L|67|77||Alabama
Feb 13, 2019|L|57|66||Florida
Feb 16, 2019|L|53|64||Auburn

Total Points For:|1802
Total Points Against:|1821
Average Points For:|72.08
Average Points Against:|72.84
Average Point Difference:|-0.76

Win Percentage:|36.0
