Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|87|59||Gardner-Webb
Nov 15, 2018|W|73|64||Ball St.
Nov 16, 2018|W|88|60||Northeastern
Nov 18, 2018|W|89|83||Purdue
Nov 24, 2018|W|75|37||St. Fran.-Pa.
Nov 27, 2018|L|62|63||Penn St.
Dec 1, 2018|W|94|40||CCSU
Dec 5, 2018|W|89|68||VMI
Dec 9, 2018|W|81|44||SC State
Dec 15, 2018|W|73|61||Washington
Dec 19, 2018|W|82|60||NC A&amp;T
Dec 28, 2018|W|85|40||Md.-E. Shore
Jan 1, 2019|W|81|66||Notre Dame
Jan 5, 2019|W|77|66||Boston College
Jan 9, 2019|W|52|49||Georgia Tech
Jan 15, 2019|L|59|81||Virginia
Jan 19, 2019|W|87|71||Wake Forest
Jan 21, 2019|L|82|103||North Carolina
Jan 26, 2019|W|78|56||Syracuse
Jan 30, 2019|W|82|70||Miami (Fla.)
Feb 2, 2019|W|47|24||NC State
Feb 4, 2019|L|64|72||Louisville
Feb 9, 2019|L|51|59||Clemson
Feb 13, 2019|W|76|68||Georgia Tech
Feb 16, 2019|W|70|64||Pittsburgh

Total Points For:|1884
Total Points Against:|1528
Average Points For:|75.36
Average Points Against:|61.12
Average Point Difference:|14.24

Win Percentage:|80.0
