Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|69|57||Gardner-Webb
Nov 9, 2018|W|69|57||Hampton
Nov 12, 2018|W|72|61||Bowling Green
Nov 19, 2018|W|57|51||Temple
Nov 20, 2018|L|86 |87|OT|St. John&#039;s
Nov 24, 2018|W|69|67 |OT|Hofstra
Nov 28, 2018|L|52|62||Old Dominion
Dec 1, 2018|W|88|59||Iona
Dec 5, 2018|W|54|53||Texas
Dec 9, 2018|L|49|57||Virginia
Dec 15, 2018|L|79|83||Charleston
Dec 22, 2018|W|70|54||Wichita St.
Dec 30, 2018|W|90|79||Rider
Jan 5, 2019|W|76|51||Fordham
Jan 9, 2019|W|69|63||La Salle
Jan 12, 2019|L|57|64||Davidson
Jan 16, 2019|W|76|71||Dayton
Jan 19, 2019|W|68|50||Massachusetts
Jan 23, 2019|L|65|71||Rhode Island
Jan 26, 2019|W|80|74||Duquesne
Feb 2, 2019|W|79|63||George Mason
Feb 6, 2019|W|60|50||George Wash.
Feb 9, 2019|W|85|55||St. Bona.
Feb 13, 2019|W|81|60||Richmond
Feb 16, 2019|W|69|68||Dayton

Total Points For:|1769
Total Points Against:|1567
Average Points For:|70.76
Average Points Against:|62.68
Average Point Difference:|8.08

Win Percentage:|76.0
