Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|89|56||
Nov 9, 2018|L|55|94||Pittsburgh
Nov 11, 2018|W|98|34||
Nov 14, 2018|W|78|72||SC Upstate
Nov 18, 2018|L|82|92||Kentucky
Nov 20, 2018|W|106|80||Ky. Christian
Nov 23, 2018|W|87|79 |OT|Stetson
Nov 27, 2018|L|64|74||American
Dec 1, 2018|L|45|65||Longwood
Dec 5, 2018|L|68|89||Virginia Tech
Dec 9, 2018|L|65|83||Chattanooga
Dec 12, 2018|L|70|103||Presbyterian
Dec 21, 2018|W|89|68||N. Alabama
Dec 29, 2018|L|68|96||Samford
Jan 5, 2019|L|68|71||UNC-Green.
Jan 10, 2019|L|57|89||Furman
Jan 12, 2019|L|76|90||Wofford
Jan 17, 2019|L|82|85||ETSU
Jan 19, 2019|W|91|83||W. Carolina
Jan 24, 2019|L|68|88||Mercer
Jan 26, 2019|L|82|84||The Citadel
Jan 31, 2019|L|66|93||UNC-Green.
Feb 7, 2019|L|70|71||Chattanooga
Feb 9, 2019|L|77 |84|OT|Samford
Feb 14, 2019|L|84|95||Wofford
Feb 16, 2019|L|62|96||Furman

Total Points For:|1947
Total Points Against:|2114
Average Points For:|74.8846153846
Average Points Against:|81.3076923077
Average Point Difference:|-6.42307692308

Win Percentage:|26.9230769231
