Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|49|89||Seton Hall
Nov 10, 2018|L|84|88|OT|UMass Lowell
Nov 13, 2018|W|90|58||
Nov 17, 2018|W|79|73||Fairfield
Nov 20, 2018|L|60|71||N.J. Tech
Nov 24, 2018|L|65|89||Rider
Nov 30, 2018|W|64|58||American
Dec 9, 2018|W|105|57||New Rochelle
Dec 16, 2018|L|58|73||St. John&#039;s
Dec 22, 2018|W|77|68||Hartford
Dec 29, 2018|L|57|59||Saint Joseph&#039;s
Jan 3, 2019|W|80|58||CCSU
Jan 5, 2019|L|59|66||St. Fran.-NY
Jan 10, 2019|W|76|73||Sacred Heart
Jan 12, 2019|W|66|60||F. Dickinson
Jan 19, 2019|L|56|70||Mt St Mary&#039;s
Jan 21, 2019|L|38|62||Sacred Heart
Jan 24, 2019|W|83|79||St. Fran.-Pa.
Jan 26, 2019|L|51|57||Robert Morris
Jan 31, 2019|L|64|71||Bryant
Feb 2, 2019|W|71|59||LIU-Brooklyn
Feb 7, 2019|L|44|51||St. Fran.-NY
Feb 9, 2019|W|68|65||LIU-Brooklyn
Feb 14, 2019|W|63|57||CCSU
Feb 16, 2019|W|58|56||Mt St Mary&#039;s
|||||
Total Points For:|1665||||
Total Points Against:|1667||||
Average Points For:|66.6||||
Average Points Against:|66.68||||
Average Point Difference:|-0.08||||

Win Percentage:|52.0
