Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|W|90|78||NC A&amp;T
Nov 15, 2018|L|69|89||Saint Joseph&#039;s
Nov 16, 2018|W|66|59||CSFullerton
Nov 18, 2018|W|69|63||Valparaiso
Nov 23, 2018|L|91 |93|OT|Houston Bap.
Nov 27, 2018|W|71|64||W. Carolina
Dec 1, 2018|L|74|84||Richmond
Dec 6, 2018|W|80|56||Charlotte
Dec 17, 2018|W|67|63||Davidson
Dec 22, 2018|L|64|83||Tennessee
Dec 29, 2018|L|69|73||Gardner-Webb
Jan 2, 2019|W|83|61||Cornell
Jan 5, 2019|L|79|92||Georgia Tech
Jan 8, 2019|L|65|87||Duke
Jan 12, 2019|L|65|76||Miami (Fla.)
Jan 15, 2019|W|71|67||NC State
Jan 19, 2019|L|71|87||Virginia Tech
Jan 22, 2019|L|45|68||Virginia
Jan 26, 2019|L|61|65||Boston College
Jan 30, 2019|L|54|82||Louisville
Feb 3, 2019|L|37|64||Clemson
Feb 5, 2019|W|78|76 |OT|Pittsburgh
Feb 13, 2019|L|66|88||Florida St.
Feb 16, 2019|L|57|95||North Carolina

Total Points For:|1642
Total Points Against:|1813
Average Points For:|68.4166666667
Average Points Against:|75.5416666667
Average Point Difference:|-7.125

Win Percentage:|37.5
