Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|73|55||W. Kentucky
Nov 9, 2018|L|66|88||Auburn
Nov 12, 2018|W|66|63||San Diego
Nov 18, 2018|W|82|68||Santa Clara
Nov 20, 2018|W|71|67||Texas A&amp;M
Nov 21, 2018|L|66|68||Minnesota
Nov 27, 2018|W|83|59||E. Washington
Dec 2, 2018|W|67|63||UCSB
Dec 5, 2018|L|79|81||Gonzaga
Dec 9, 2018|W|70|62||Seattle
Dec 15, 2018|L|61|73||Virginia Tech
Dec 21, 2018|W|57|41||Sacramento St.
Jan 1, 2019|W|84|76||CSFullerton
Jan 5, 2019|W|85|67||Washington St.
Jan 10, 2019|W|69|53||Utah
Jan 12, 2019|W|77|70||Colorado
Jan 17, 2019|W|80|64||Stanford
Jan 19, 2019|W|71|52||California
Jan 24, 2019|W|61|56||Oregon
Jan 26, 2019|W|79|69||Oregon St.
Jan 30, 2019|W|75|62||USC
Feb 2, 2019|W|69|55||UCLA
Feb 7, 2019|W|67|60||Arizona
Feb 9, 2019|L|63|75||Arizona St.
Feb 16, 2019|W|72|70||Washington St.

Total Points For:|1793
Total Points Against:|1617
Average Points For:|71.72
Average Points Against:|64.68
Average Point Difference:|7.04

Win Percentage:|80.0
