Date|Win?|Points For|Points Against|OT?|Opponent
Nov 11, 2018|W|89|72||Nicholls St.
Nov 14, 2018|L|69|78||Seattle
Nov 19, 2018|W|84|70||Cal Poly
Nov 24, 2018|W|80|52||Delaware St.
Nov 27, 2018|W|103|94||CSNorthridge 
Dec 1, 2018|L|63|69||N. Mex. St.
Dec 5, 2018|W|90|70||Idaho
Dec 9, 2018|L|90|95||Montana St.
Dec 17, 2018|W|94|80||Rider
Dec 19, 2018|W|89|73||SIUE
Dec 22, 2018|L|75|82||San Diego
Dec 23, 2018|L|72|75||N. Mex. St.
Dec 29, 2018|L|71|79||Santa Clara
Jan 5, 2019|L|67|85||Washington
Jan 10, 2019|L|60|92||Colorado
Jan 12, 2019|L|70|88||Utah
Jan 17, 2019|W|82|59||California
Jan 19, 2019|L|66|78||Stanford
Jan 24, 2019|L|77|90||Oregon St.
Jan 27, 2019|L|58|78||Oregon
Jan 30, 2019|L|67|87||UCLA
Feb 2, 2019|L|84|93||USC
Feb 7, 2019|W|91|70||Arizona St.
Feb 9, 2019|W|69|55||Arizona
Feb 16, 2019|L|70|72||Washington

Total Points For:|1930
Total Points Against:|1936
Average Points For:|77.2
Average Points Against:|77.44
Average Point Difference:|-0.24

Win Percentage:|40.0
