Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|73|96||Wright St.
Nov 10, 2018|L|74|77||Charleston
Nov 14, 2018|L|65|98||SMU
Nov 17, 2018|W|94|55||
Nov 20, 2018|L|53|84||Jax. State
Nov 21, 2018|L|63|68||So. Miss
Nov 24, 2018|W|77|65||Jacksonville
Nov 27, 2018|L|64|71||Wake Forest
Dec 1, 2018|L|88 |90|OT|Furman
Dec 5, 2018|L|67|100||NC State
Dec 8, 2018|W|71|59||UNC-Ash.
Dec 15, 2018|L|59|86||High Point
Dec 18, 2018|L|60|78||Iowa
Dec 21, 2018|L|52|73||Bowling Green
Dec 29, 2018|L|54|74||Wofford
Jan 3, 2019|L|62|73||Chattanooga
Jan 5, 2019|W|76|69||Samford
Jan 10, 2019|L|80|84||Mercer
Jan 12, 2019|W|94|82||The Citadel
Jan 17, 2019|L|60|69||UNC-Green.
Jan 19, 2019|L|83|91||VMI
Jan 26, 2019|L|69|91||ETSU
Jan 31, 2019|W|105|96||Chattanooga
Feb 2, 2019|L|81|92||Samford
Feb 7, 2019|L|45|64||Furman
Feb 9, 2019|L|56|83||Wofford
Feb 14, 2019|L|65|74||Mercer
Feb 16, 2019|W|103|82||The Citadel

Total Points For:|1993
Total Points Against:|2224
Average Points For:|71.1785714286
Average Points Against:|79.4285714286
Average Point Difference:|-8.25

Win Percentage:|25.0
