Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|66|83||San Diego
Nov 9, 2018|W|123|53||Bethesda
Nov 15, 2018|W|85|77||San Jose St.
Nov 16, 2018|W|78|76||C. Michigan
Nov 18, 2018|L|67|68||Cal-Baker.
Nov 27, 2018|W|100|61||
Dec 1, 2018|W|113|103||BYU
Dec 5, 2018|L|52|71||Fresno St.
Dec 8, 2018|L|67|76||Utah St.
Dec 15, 2018|L|63|75||Utah Valley
Dec 22, 2018|W|83|69||Delaware St.
Dec 29, 2018|W|84|72||E. Washington
Dec 31, 2018|W|93|87||Idaho
Jan 3, 2019|W|77|52||N. Arizona
Jan 5, 2019|L|82 |90|OT|So. Utah
Jan 12, 2019|W|95|88 |OT|Portland St.
Jan 17, 2019|W|76|59||Idaho St.
Jan 19, 2019|W|78|64||N. Colorado
Jan 24, 2019|W|93|84||Montana St.
Jan 26, 2019|L|68|75||Montana
Jan 31, 2019|L|75|76||Portland St.
Feb 2, 2019|W|75|65||Sacramento St.
Feb 7, 2019|L|53|65||So. Utah
Feb 9, 2019|W|86|71||N. Arizona
Feb 14, 2019|L|80|83||Montana
Feb 16, 2019|W|94|82||Montana St.

Total Points For:|2106
Total Points Against:|1925
Average Points For:|81.0
Average Points Against:|74.0384615385
Average Point Difference:|6.96153846154

Win Percentage:|61.5384615385
