Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|58|71||Louisiana Tech
Nov 9, 2018|W|83|80||Providence
Nov 15, 2018|L|53|57||Davidson
Nov 16, 2018|W|82|76||App. St.
Nov 18, 2018|L|86|90||Alabama
Nov 25, 2018|W|90|61||Rice
Dec 1, 2018|W|71|63||Baylor
Dec 8, 2018|L|48|80||Oklahoma
Dec 12, 2018|W|69|65||Jax. State
Dec 15, 2018|W|63|60||So. Miss
Dec 19, 2018|W|84|63||Oral Roberts
Dec 22, 2018|L|54|70||VCU
Jan 3, 2019|L|74|85||Memphis
Jan 6, 2019|L|81 |85|OT|Temple
Jan 12, 2019|L|70|79||Houston
Jan 16, 2019|W|75|67||UCF
Jan 19, 2019|L|55|66||Cincinnati
Jan 22, 2019|L|41|54||South Florida
Jan 26, 2019|L|60|80||Connecticut
Jan 30, 2019|W|85|83||SMU
Feb 2, 2019|W|79|68||Tulsa
Feb 6, 2019|W|65|49||East Carolina
Feb 9, 2019|W|77|62||Tulane
Feb 17, 2019|L|62|72||Cincinnati

Total Points For:|1665
Total Points Against:|1686
Average Points For:|69.375
Average Points Against:|70.25
Average Point Difference:|-0.875

Win Percentage:|50.0
