Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|67|78||Creighton
Nov 10, 2018|W|84|56||North Park
Nov 14, 2018|W|95|56||
Nov 17, 2018|L|66 |68|OT|E. Illinois
Nov 21, 2018|L|90|92||UT Martin
Nov 24, 2018|L|49|73||Nebraska
Nov 28, 2018|W|83|58||SIUE
Dec 1, 2018|W|70|63||SE Missouri St.
Dec 5, 2018|L|64|68||Stetson
Dec 8, 2018|L|65|76||E. Illinois
Dec 15, 2018|L|68|82||IUPUI
Dec 17, 2018|L|76|91||N. Illinois
Dec 20, 2018|W|81|52||Chicago St.
Dec 28, 2018|L|58|100||S. Dak. St.
Dec 30, 2018|W|78|60||Denver
Jan 5, 2019|L|63|82||Oral Roberts
Jan 10, 2019|L|69|85||N. Dakota St.
Jan 12, 2019|L|65|71||North Dakota
Jan 17, 2019|L|71|80||Neb.-Omaha
Jan 19, 2019|W|87|58||PFW
Jan 26, 2019|W|65|59||South Dakota
Feb 1, 2019|L|73|74||North Dakota
Feb 2, 2019|L|76|78||North Dakota
Feb 7, 2019|L|64|79||N. Dakota St.
Feb 16, 2019|L|67|80||PFW

Total Points For:|1794
Total Points Against:|1819
Average Points For:|71.76
Average Points Against:|72.76
Average Point Difference:|-1.0

Win Percentage:|32.0
