Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|79|92||Vanderbilt
Nov 10, 2018|W|94|82||SIUE
Nov 13, 2018|W|134|99||Pfeiffer
Nov 17, 2018|L|74|76||ETSU
Nov 21, 2018|L|74|87||Kentucky
Nov 24, 2018|W|116|76||
Nov 28, 2018|W|82|70||Tenn. Tech
Dec 4, 2018|L|81|99||Davidson
Dec 16, 2018|W|109|66||
Dec 20, 2018|W|88|74||Md.-E. Shore
Dec 22, 2018|W|79|71||S. Illinois
Dec 29, 2018|W|76|62||Prairie View
Jan 1, 2019|L|76|87||Florida St.
Jan 5, 2019|W|80|65||UNC-Ash.
Jan 10, 2019|W|90|86||Campbell
Jan 12, 2019|W|80|63||High Point
Jan 16, 2019|L|61|75||Longwood
Jan 19, 2019|W|82|72||SC Upstate
Jan 21, 2019|W|66|45||UNC-Ash.
Jan 24, 2019|W|97|88||Gardner-Webb
Jan 26, 2019|L|91|99||Presbyterian
Feb 2, 2019|L|61|80||Radford
Feb 7, 2019|W|76|72||Charleston So.
Feb 9, 2019|W|101|91||Hampton
Feb 13, 2019|W|93|85||Presbyterian
Feb 16, 2019|L|60|64||Gardner-Webb

Total Points For:|2200
Total Points Against:|2026
Average Points For:|84.6153846154
Average Points Against:|77.9230769231
Average Point Difference:|6.69230769231

Win Percentage:|65.3846153846
