Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|110|54||
Nov 9, 2018|L|74|78||Indiana St.
Nov 11, 2018|L|82|93||Iowa
Nov 16, 2018|W|82|78 |OT|E. Washington
Nov 17, 2018|W|87|70||Morehead St.
Nov 20, 2018|L|72|83||Oregon
Nov 28, 2018|W|85|83||N. Illinois
Dec 1, 2018|W|100|92||Belmont
Dec 8, 2018|L|68|97||Bowling Green
Dec 11, 2018|W|112|46||
Dec 14, 2018|L|65|86||Creighton
Dec 16, 2018|L|83|104||Michigan St.
Dec 22, 2018|L|75|80||Evansville
Dec 29, 2018|W|92|82||Milwaukee
Jan 3, 2019|W|99|93 |OT|Youngstown St.
Jan 5, 2019|W|90|89||Clev. St.
Jan 10, 2019|L|83|101||Detroit
Jan 12, 2019|L|78|90||Oakland
Jan 17, 2019|L|70|76||IUPUI
Jan 19, 2019|W|90|85||Ill.-Chicago
Jan 24, 2019|L|65|87||N. Kentucky
Jan 26, 2019|L|75|87||Wright St.
Feb 1, 2019|W|90|74||Milwaukee
Feb 7, 2019|W|82|65||Clev. St.
Feb 9, 2019|L|77|96||Youngstown St.
Feb 14, 2019|W|66|54||Oakland
Feb 16, 2019|W|82|73||Detroit

Total Points For:|2234
Total Points Against:|2196
Average Points For:|82.7407407407
Average Points Against:|81.3333333333
Average Point Difference:|1.40740740741

Win Percentage:|51.8518518519
