Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|55|73||Washington
Nov 10, 2018|W|86|71||UT Martin
Nov 15, 2018|W|83|71||Valparaiso
Nov 16, 2018|W|63|57||West Virginia
Nov 18, 2018|L|62|78||UCF
Nov 24, 2018|L|54|63||Indiana St.
Dec 1, 2018|W|88|74||Tennessee St.
Dec 5, 2018|L|78|84||Missouri St.
Dec 8, 2018|W|78|77||Arkansas
Dec 16, 2018|L|81|87||Troy
Dec 19, 2018|L|74|80||Belmont
Dec 22, 2018|W|71|68||Saint Mary&#039;s
Dec 29, 2018|W|83|76||Wisconsin
Jan 3, 2019|W|68|50||Charlotte
Jan 5, 2019|L|66|69||Old Dominion
Jan 12, 2019|L|69|70||Marshall
Jan 17, 2019|L|76|77||FIU
Jan 19, 2019|W|72|66||FAU
Jan 21, 2019|W|68|59||Marshall
Jan 24, 2019|W|66|63||So. Miss
Jan 26, 2019|L|50|62||Louisiana Tech
Jan 31, 2019|W|96|88 |OT|UT-San Antonio
Feb 2, 2019|W|76|59||UTEP
Feb 7, 2019|W|92|85 |OT|Rice
Feb 9, 2019|W|62|59||North Texas
Feb 14, 2019|W|71|63||Middle Tenn.
Feb 16, 2019|L|60|68||UAB

Total Points For:|1948
Total Points Against:|1897
Average Points For:|72.1481481481
Average Points Against:|70.2592592593
Average Point Difference:|1.88888888889

Win Percentage:|59.2592592593
