Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|89|76||Detroit
Nov 10, 2018|L|64|90||Ole Miss
Nov 13, 2018|W|85|77 |OT|Oakland
Nov 17, 2018|W|99|52||
Nov 19, 2018|L|52|78||Cincinnati
Nov 23, 2018|W|85|70||Southern U.
Nov 24, 2018|L|61 |62|OT|Nicholls St.
Dec 1, 2018|L|66|71||SC Upstate
Dec 8, 2018|W|88|77||Youngstown St.
Dec 15, 2018|L|62|70||Michigan
Dec 19, 2018|L|72|85||Dayton
Dec 22, 2018|L|66|67||Milwaukee
Dec 30, 2018|W|73|64||UC Riverside
Jan 5, 2019|L|48|56||Akron
Jan 8, 2019|L|73|88||Kent St.
Jan 12, 2019|L|77|85||Toledo
Jan 15, 2019|L|79|88||Buffalo
Jan 19, 2019|L|48|79||Bowling Green
Jan 22, 2019|L|76|81||Ohio
Jan 26, 2019|L|67|93||E. Michigan
Feb 2, 2019|L|64|85||Kent St.
Feb 5, 2019|L|72|85||Kent St.
Feb 9, 2019|L|59|79||C. Michigan
Feb 12, 2019|W|76|74||Bowling Green
Feb 14, 2019|L|63|82||Ball St.
Feb 16, 2019|W|84|79 |OT|N. Illinois

Total Points For:|1848
Total Points Against:|1993
Average Points For:|71.0769230769
Average Points Against:|76.6538461538
Average Point Difference:|-5.57692307692

Win Percentage:|30.7692307692
