Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|79|69||High Point
Nov 10, 2018|L|70|84||Duquesne
Nov 15, 2018|L|95 |100|OT|Ill.-Chicago
Nov 17, 2018|L|64|73||Notre Dame
Nov 20, 2018|L|72|81||Radford
Nov 24, 2018|W|87|85||Saint Joseph&#039;s
Nov 28, 2018|L|64|84||Marshall
Dec 1, 2018|L|84|87||George Mason
Dec 5, 2018|L|53|71||Old Dominion
Dec 8, 2018|W|76|71||Hampton
Dec 16, 2018|W|106|89||Peace
Dec 22, 2018|L|40|72||Virginia
Dec 28, 2018|W|79|74||James Madison
Dec 30, 2018|W|71|61||Towson
Jan 3, 2019|L|56|58||Delaware
Jan 5, 2019|W|84|66||Drexel
Jan 10, 2019|L|90 |93|OT|Hofstra
Jan 12, 2019|L|70|90||Northeastern
Jan 19, 2019|L|71|76||Elon
Jan 24, 2019|L|88|93||UNC-Wilm.
Jan 26, 2019|L|59|74||Charleston
Jan 31, 2019|W|75|69||Drexel
Feb 2, 2019|W|84|63||Delaware
Feb 7, 2019|L|60|72||Northeastern
Feb 9, 2019|L|87|93||Hofstra
Feb 16, 2019|W|84|74||Elon

Total Points For:|1948
Total Points Against:|2022
Average Points For:|74.9230769231
Average Points Against:|77.7692307692
Average Point Difference:|-2.84615384615

Win Percentage:|38.4615384615
