Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|96|73||W. Carolina
Nov 10, 2018|L|54|73||Murray St.
Nov 14, 2018|W|84|74||Toledo
Nov 17, 2018|W|89|72||North Florida
Nov 20, 2018|L|59|77||Penn St.
Nov 21, 2018|L|76|77||SMU
Nov 27, 2018|W|58|39||
Dec 1, 2018|L|63|69||Indiana St.
Dec 5, 2018|L|62|65||Miami (Ohio)
Dec 8, 2018|L|76|83||Kent St.
Dec 13, 2018|W|91|52||
Dec 18, 2018|W|78|67||Morehead St.
Dec 22, 2018|L|63|67||Miss. State
Dec 28, 2018|L|72 |75|OT|Ill.-Chicago
Dec 30, 2018|W|72|64||IUPUI
Jan 3, 2019|L|58|79||Detroit
Jan 5, 2019|W|89|73||Oakland
Jan 11, 2019|L|64|68||N. Kentucky
Jan 17, 2019|W|80|74||Youngstown St.
Jan 19, 2019|W|89|66||Clev. St.
Jan 24, 2019|W|56|54||Milwaukee
Jan 26, 2019|W|87|75||Green Bay
Feb 1, 2019|L|53|67||Ill.-Chicago
Feb 3, 2019|W|79|74||IUPUI
Feb 7, 2019|W|76|62||Oakland
Feb 9, 2019|W|83|60||Detroit
Feb 15, 2019|W|81|77||N. Kentucky

Total Points For:|1988
Total Points Against:|1856
Average Points For:|73.6296296296
Average Points Against:|68.7407407407
Average Point Difference:|4.88888888889

Win Percentage:|59.2592592593
