Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|94 |99|OT|Buffalo
Nov 15, 2018|W|71|53||Monmouth
Nov 16, 2018|L|57|63||W. Kentucky
Nov 18, 2018|W|97|90||Saint Joseph&#039;s
Nov 24, 2018|W|88|76||Valparaiso
Nov 28, 2018|W|92|78||Rider
Dec 1, 2018|W|106|72||Youngstown St.
Dec 4, 2018|L|56|66||Florida
Dec 8, 2018|W|69|59||Pittsburgh
Dec 16, 2018|L|70|83||Rhode Island
Dec 22, 2018|W|74|72||Jax. State
Dec 30, 2018|W|78|68||Lehigh
Jan 2, 2019|L|59|62||Texas Tech
Jan 5, 2019|L|54|61||Texas
Jan 9, 2019|L|69|71||Kansas St.
Jan 12, 2019|L|77|85||Oklahoma St.
Jan 15, 2019|L|67|98||TCU
Jan 19, 2019|W|65|64||Kansas
Jan 21, 2019|L|73|85||Baylor
Jan 26, 2019|L|66|83||Tennessee
Jan 30, 2019|L|68|93||Iowa St.
Feb 2, 2019|W|79|71||Oklahoma
Feb 4, 2019|L|50|81||Texas Tech
Feb 9, 2019|L|53|75||Texas
Feb 16, 2019|L|53|78||Kansas

Total Points For:|1785
Total Points Against:|1886
Average Points For:|71.4
Average Points Against:|75.44
Average Point Difference:|-4.04

Win Percentage:|40.0
