Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|66|76||UCSB
Nov 10, 2018|L|64|83||Oregon St.
Nov 14, 2018|W|86|78||Grambling
Nov 16, 2018|L|67|72||Niagara
Nov 19, 2018|L|76|88||Boston College
Nov 21, 2018|W|68|66||Richmond
Nov 28, 2018|L|78|86||Evansville
Dec 1, 2018|L|80|85||N. Colorado
Dec 5, 2018|W|73|64||South Carolina
Dec 11, 2018|L|87 |90|OT|Denver
Dec 21, 2018|L|53|76||ETSU
Dec 22, 2018|L|65|76||UTEP
Dec 29, 2018|W|65|63||
Jan 2, 2019|L|55|69||Boise St.
Jan 5, 2019|L|56|68||UNLV
Jan 8, 2019|L|54|84||San Diego St
Jan 12, 2019|L|55|71||Utah St.
Jan 19, 2019|L|53|83||New Mexico
Jan 23, 2019|W|59|46||San Jose St.
Jan 26, 2019|L|52|77||Boise St.
Jan 30, 2019|L|62|75||Fresno St.
Feb 6, 2019|L|76|81||Air Force
Feb 9, 2019|W|74|66||Colorado St.
Feb 13, 2019|L|59|76||Utah St.
Feb 16, 2019|L|49|82||Nevada

Total Points For:|1632
Total Points Against:|1881
Average Points For:|65.28
Average Points Against:|75.24
Average Point Difference:|-9.96

Win Percentage:|24.0
