Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|76|59||California
Nov 17, 2018|L|102 |109|OT|Memphis
Nov 21, 2018|L|70|79||Vermont
Nov 28, 2018|W|103|61||Bryant
Dec 1, 2018|W|77|73||Miami (Fla.)
Dec 5, 2018|W|97|87||Lehigh
Dec 8, 2018|L|58|91||Duke
Dec 11, 2018|W|71|63||Albany
Dec 20, 2018|W|66|58||Monmouth
Dec 22, 2018|W|99|84||Iona
Jan 2, 2019|W|92|65||Kennesaw St.
Jan 5, 2019|W|94|90 |OT|CSNorthridge 
Jan 8, 2019|W|88|59||
Jan 19, 2019|W|70|67||Brown
Jan 25, 2019|W|79|71||Brown
Feb 1, 2019|L|49|65||Harvard
Feb 2, 2019|W|89|68||Dartmouth
Feb 8, 2019|W|74|60||Princeton
Feb 9, 2019|W|78|65||Penn
Feb 15, 2019|W|70|64||Columbia
Feb 16, 2019|W|98|92||Cornell

Total Points For:|1700
Total Points Against:|1530
Average Points For:|80.9523809524
Average Points Against:|72.8571428571
Average Point Difference:|8.09523809524

Win Percentage:|80.9523809524
