Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|53|69||Pittsburgh
Nov 10, 2018|L|69|98||Akron
Nov 12, 2018|W|106|83||
Nov 16, 2018|W|94|83||Columbia
Nov 17, 2018|L|61|67||Fordham
Nov 18, 2018|L|93|102||FIU
Nov 21, 2018|W|104|66||
Nov 28, 2018|L|56|76||Robert Morris
Dec 1, 2018|L|72|106||West Virginia
Dec 4, 2018|L|94 |100|OT|C. Michigan
Dec 8, 2018|L|77|88||W. Michigan
Dec 15, 2018|W|58|48||Binghamton
Dec 18, 2018|L|56|75||Ohio St.
Dec 28, 2018|L|66|78||Detroit
Dec 30, 2018|L|74|76||Oakland
Jan 3, 2019|L|93 |99|OT|Green Bay
Jan 5, 2019|W|76|51||Milwaukee
Jan 10, 2019|L|63|78||Ill.-Chicago
Jan 12, 2019|W|82|76||IUPUI
Jan 17, 2019|L|74|80||Wright St.
Jan 19, 2019|L|74|82||N. Kentucky
Jan 26, 2019|L|62|72||Clev. St.
Jan 31, 2019|W|75|74||Oakland
Feb 2, 2019|W|72|70||Detroit
Feb 7, 2019|W|72|71||Milwaukee
Feb 9, 2019|W|96|77||Green Bay
Feb 14, 2019|W|75|73||IUPUI
Feb 16, 2019|W|81|73||Ill.-Chicago

Total Points For:|2128
Total Points Against:|2191
Average Points For:|76.0
Average Points Against:|78.25
Average Point Difference:|-2.25

Win Percentage:|42.8571428571
